fileid,mic_file,text_file,gt_doa,pred_doa,spk,wer,edit_distance,ref_words,ipdnet2_sec,dsenet_sec,whisper_sec,total_target_sec,reference,hypothesis
0,mic_fileid_0_doa73_3spk.wav,text_fileid_0_doa73_spk1.txt,73,74,1,0.0,0,38,0.7412107560003278,5.423297858999831,0.914022199000101,7.07853081400026,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"but before his arrival life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him."
0,mic_fileid_0_doa169_3spk.wav,text_fileid_0_doa169_spk2.txt,169,173,2,0.10869565217391304,5,46,0.7412107560003278,5.423297858999831,0.49822843899983127,6.66273705399999,WAS THE NATURAL INCLINATION OF THE GOVERNOR NOW ROC AND HIS MEN WERE TREATED WELL AND HAVING BEEN BROUGHT BEFORE THE GOVERNOR WERE TOLD THAT IN CONSEQUENCE OF THEIR HAVING COMMITTED NO OVERT ACT OF DISORDER THEY WOULD BE SET AT LIBERTY AND SHIPPED TO ENGLAND,"was the natural inclination of the governor. Now Rock and his men were treated well, and having been brought before the governor, were to be fed in consequence of their having committed no overt act of disorder, they would be sent at liberty and shipped to England."
0,mic_fileid_0_doa206_3spk.wav,text_fileid_0_doa206_spk3.txt,206,200,3,1.0,47,47,0.7412107560003278,5.423297858999831,3.696288323000772,9.86079693800093,EVEN NOW THE RUINS MAY BE IMPASSABLE GRAHAM REGARDED HIM DOUBTFULLY AND FOLLOWED HIM THEY WENT UP THE STEPPED PLATFORMS TO THE SWIFTEST ONE AND THERE ASANO ACCOSTED A LABOURER THE ANSWERS TO HIS QUESTIONS WERE IN THE THICK VULGAR SPEECH WHAT DID HE SAY ASKED GRAHAM,Thats my Twitch party
1,mic_fileid_1_doa82_3spk.wav,text_fileid_1_doa82_spk3.txt,82,81,3,0.17073170731707318,7,41,0.15733662200000254,4.913082920000306,0.43665371899987804,5.507073261000187,AND UNLESS HE FANCIED HIMSELF AT ANY TIME UNEQUAL TO COMPANY THERE WAS SCARCELY AN EVENING IN THE WEEK IN WHICH EMMA COULD NOT MAKE UP A CARD TABLE FOR HIM REAL LONG STANDING REGARD BROUGHT THE WESTONS AND MISTER KNIGHTLEY,"And unless he fancied himself at any time unequal to company, there was scarcely an evening in which Emma could not make up a card cheval for him. Real long-standing regard brought the Westons and Mr. Knightley."
1,mic_fileid_1_doa187_3spk.wav,text_fileid_1_doa187_spk1.txt,187,185,1,0.03125,1,32,0.15733662200000254,4.913082920000306,0.366591072999654,5.437010614999963,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the precautions, which have been so happily concerted in the system under consideration, promised an effectual security against this mischief. The choice of several to form an intermediate body of electors."
1,mic_fileid_1_doa288_3spk.wav,text_fileid_1_doa288_spk2.txt,288,189,2,1.103448275862069,32,29,0.15733662200000254,4.913082920000306,0.3766927209999267,5.4471122630002355,HE TRIED HIS HARDEST TO FLUTTER AWAY FARMER BROWN'S BOY UNDERSTOOD INSTANTLY THAT SOMETHING WAS WRONG WITH ONE WING AND RUNNING FORWARD HE CAUGHT REDCOAT YOU POOR LITTLE THING,"But the precautions, which have been so happily concerted in the system under consideration, promise an effectual security against this mischief. The choice of several to form an intermediate body of electors."
2,mic_fileid_2_doa36_3spk.wav,text_fileid_2_doa36_spk1.txt,36,34,1,0.1951219512195122,8,41,0.13725513000008505,5.270695763999356,0.49513630399997055,5.903087197999412,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that Rose and her head always centered on Charlie Kinraid. His ways, his words."
2,mic_fileid_2_doa128_3spk.wav,text_fileid_2_doa128_spk2.txt,128,124,2,0.2571428571428571,9,35,0.13725513000008505,5.270695763999356,0.38778733699928125,5.795738230998722,WASH WILLIAMS WAS A MAN OF COURAGE A THING HAD HAPPENED TO HIM THAT MADE HIM HATE LIFE AND HE HATED IT WHOLEHEARTEDLY WITH THE ABANDON OF A POET FIRST OF ALL HE HATED WOMEN,"Watch Williams with a man of courage. A thing that happens more than makes him hate life, as he hated it wholeheartedly, with the abandon of a poet. First of all, he hated women."
2,mic_fileid_2_doa240_3spk.wav,text_fileid_2_doa240_spk3.txt,240,238,3,0.26785714285714285,15,56,0.13725513000008505,5.270695763999356,0.5449287229994297,5.952879616998871,THEY PLAYED SUCH A CLOSE GUARDING GAME THAT TRY AS THEY MIGHT THE JUNIORS MADE NO HEADWAY THEN JULIA CROSBY SCORED ON A FIELD GOAL MAKING THE SCORE THREE TO TWO THIS SPURRED THE JUNIOR TEAM ON TO GREATER EFFORT AND MIRIAM MADE A BRILLIANT THROW TO BASKET THAT BROUGHT FORTH AN OVATION FROM THE GALLERY,They played such a close-guarded game that triumphed they might that juniors made no headwind. The Gillian Frost bespored on a field goal making the score free to two. This spurred the junior team on to greater effort and Mary made a brilliant throwout to basket that brought forth innovation from the gallery.
3,mic_fileid_3_doa39_3spk.wav,text_fileid_3_doa39_spk1.txt,39,39,1,0.058823529411764705,2,34,0.13557815500007564,4.16620049300036,0.5722969059997922,4.874075554000228,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst."
3,mic_fileid_3_doa110_3spk.wav,text_fileid_3_doa110_spk2.txt,110,108,2,0.15151515151515152,5,33,0.13557815500007564,4.16620049300036,0.5268877110001995,4.828666359000636,OF HIS FALLING DOWN AND WORSHIPING HIM JOHN MERRICK WAS A MULTI MILLIONAIRE TO BE SURE BUT THERE WERE PALLIATING CIRCUMSTANCES THAT ALMOST EXCUSED HIM HE HAD BEEN SO BUSILY OCCUPIED IN INDUSTRY,"on his falling down and worshiping him. John Merrick was a multi-millionaire to be sure, but there were palliating circumstances that almost excused him. He had been so massively occupied in the industry."
3,mic_fileid_3_doa192_3spk.wav,text_fileid_3_doa192_spk3.txt,192,189,3,0.32142857142857145,9,28,0.13557815500007564,4.16620049300036,0.42560127999968245,4.7273799280001185,HAD BEEN APPOINTED COUNCIL PENSIONARY CROMWELL TOOK PAINS TO LET THE ESTATES OF HOLLAND KNOW HIS FAVOURABLE FEELINGS TOWARDS THEM BY SENDING OVER IN FEBRUARY A PRIVATE EMISSARY,had been appointed Council pinched there. Cromwell took pains to let the estate fallen know his favorable feelings towards them by setting over in February a prime adversary.
4,mic_fileid_4_doa26_3spk.wav,text_fileid_4_doa26_spk1.txt,26,26,1,0.15625,5,32,0.17460348500026157,4.62829856099961,0.4074680539997644,5.210370099999636,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen therefore."
4,mic_fileid_4_doa58_3spk.wav,text_fileid_4_doa58_spk3.txt,58,45,3,0.5128205128205128,20,39,0.17460348500026157,4.62829856099961,0.4075043060001917,5.210406352000064,YET AFTER IT WAS ALL OVER SHE WAS INFORMED THAT THE EMPEROR AND EMPRESS HAD SPOKEN KINDLY TO HER AND THAT SHE HERSELF HAD MADE HER BOW AND BACKED OUT OF THE ROOM ADMIRABLY FOR ONE IN HER POSITION,"The editor of the Lover, he was informed that the Emperor and Emperor sent both kindly to her and that she, the Stealth, had made her bow and back out of the ring and replete from what interposition."
4,mic_fileid_4_doa243_3spk.wav,text_fileid_4_doa243_spk2.txt,243,26,2,0.925,37,40,0.17460348500026157,4.62829856099961,0.38902412300012656,5.1919261689999985,AH YES HE RETURNED THOUGHTFULLY I'VE ALWAYS NOTICED THAT THE OPERA MAKES FOLKS DESPERATELY HUNGRY FOR THEY FLOCK TO THE RESTAURANTS AS SOON AS THEY CAN GET AWAY SINGULAR ISN'T IT WHY I NEVER THOUGHT OF IT IN THAT LIGHT,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen therefore."
