setting,fileid,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,whisper_rtf
HARK_n_sep_GT,0,2,17.602,169,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_0/enhanced_fileid_0_doa169_spk2.wav,gt_spk_filename,1,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa169_spk2.txt,0.9565217391304348,44,46,-7.641918342320082,-3.724174271346732,3.91774407097335,-11.574305818444321,-30.60764912794634,-19.033343309502015,WAS THE NATURAL INCLINATION OF THE GOVERNOR NOW ROC AND HIS MEN WERE TREATED WELL AND HAVING BEEN BROUGHT BEFORE THE GOVERNOR WERE TOLD THAT IN CONSEQUENCE OF THEIR HAVING COMMITTED NO OVERT ACT OF DISORDER THEY WOULD BE SET AT LIBERTY AND SHIPPED TO ENGLAND,"but we know it's required to be like a distinct. Now the county is in the same with the people, especially because they discovered that they should have lived better to some extent she has lived. Telling him that she loved him and should stay alive.",1.3757614569999532,0.07815938285421846
HARK_n_sep_GT,0,3,17.602,206,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_0/enhanced_fileid_0_doa206_spk3.wav,gt_spk_filename,2,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa206_spk3.txt,0.7872340425531915,37,47,-3.057371412420734,-2.483411692752767,0.5739597196679669,-6.639514613742957,-19.47270797145665,-12.833193357713693,EVEN NOW THE RUINS MAY BE IMPASSABLE GRAHAM REGARDED HIM DOUBTFULLY AND FOLLOWED HIM THEY WENT UP THE STEPPED PLATFORMS TO THE SWIFTEST ONE AND THERE ASANO ACCOSTED A LABOURER THE ANSWERS TO HIS QUESTIONS WERE IN THE THICK VULGAR SPEECH WHAT DID HE SAY ASKED GRAHAM,"Even now the room would maybe have been staked. Graham regarded the doctors as a lot of work. They went up to the septic plaque, and the doctors swift as one. And there's a son of a cost of delivery. The answer to this question is worth a thick volume of it. What did he say? Ask Graham.",0.6304353539999283,0.03581612055447837
HARK_n_sep_GT,1,2,16.652,288,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_1/enhanced_fileid_1_doa288_spk2.wav,gt_spk_filename,1,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa288_spk2.txt,0.8620689655172413,25,29,-3.069480549017677,-2.47722471380027,0.592255835217407,-7.690803656056996,-17.875964780993904,-10.185161124936908,HE TRIED HIS HARDEST TO FLUTTER AWAY FARMER BROWN'S BOY UNDERSTOOD INSTANTLY THAT SOMETHING WAS WRONG WITH ONE WING AND RUNNING FORWARD HE CAUGHT REDCOAT YOU POOR LITTLE THING,"He tried his hardest to flutter away, so when the Browns boy understood instantly that something was promised one day and running forward, he caught redcoats. The choice of several to form an intermediate body of electors brought the Westons and Mr. Knightley.",0.5154519830000481,0.030954358815760755
HARK_n_sep_GT,1,3,16.652,82,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_1/enhanced_fileid_1_doa82_spk3.wav,gt_spk_filename,2,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa82_spk3.txt,0.7560975609756098,31,41,-4.884861582568741,-2.9062313145361234,1.9786302680326173,-9.39047478956451,-15.047091964896948,-5.656617175332437,AND UNLESS HE FANCIED HIMSELF AT ANY TIME UNEQUAL TO COMPANY THERE WAS SCARCELY AN EVENING IN THE WEEK IN WHICH EMMA COULD NOT MAKE UP A CARD TABLE FOR HIM REAL LONG STANDING REGARD BROUGHT THE WESTONS AND MISTER KNIGHTLEY,"But how much he and so happened to be brought to the Westin's and to the insubordination? There was scarcely any reason to be here. And what could not make up a hypothetical? The choice of several, the real long-standing regard, brought the Westin's and Mr. Knightley.",0.6158920949999356,0.036986073444627406
HARK_n_sep_GT,2,2,17.402,128,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_2/enhanced_fileid_2_doa128_spk2.wav,gt_spk_filename,1,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa128_spk2.txt,1.1428571428571428,40,35,-3.7234704880552636,-2.0779408347413892,1.6455296533138744,-7.865430943655315,-29.438427559050954,-21.57299661539564,WASH WILLIAMS WAS A MAN OF COURAGE A THING HAD HAPPENED TO HIM THAT MADE HIM HATE LIFE AND HE HATED IT WHOLEHEARTEDLY WITH THE ABANDON OF A POET FIRST OF ALL HE HATED WOMEN,"Or watch Williams with a man of courage. Her life was quiet and lost, although hard-working. And while her hands mechanically found and did a recast of labor, the thoughts that rose in her lips that was something I'm trying to find is ways, is words.",0.5137969449999673,0.029525166360186605
HARK_n_sep_GT,2,3,17.402,240,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_2/enhanced_fileid_2_doa240_spk3.wav,gt_spk_filename,2,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa240_spk3.txt,0.42857142857142855,24,56,-6.317893114053879,-2.8720881637419495,3.4458049503119295,-10.662065401292109,-31.26003023143367,-20.597964830141564,THEY PLAYED SUCH A CLOSE GUARDING GAME THAT TRY AS THEY MIGHT THE JUNIORS MADE NO HEADWAY THEN JULIA CROSBY SCORED ON A FIELD GOAL MAKING THE SCORE THREE TO TWO THIS SPURRED THE JUNIOR TEAM ON TO GREATER EFFORT AND MIRIAM MADE A BRILLIANT THROW TO BASKET THAT BROUGHT FORTH AN OVATION FROM THE GALLERY,"They play such a close-guarded game, the try as they might, and Spaniel headline. The Julia Brodding's board on the field bowl made the score 3-2. This for the junior team on the greater end, and Mary made a brilliant throw to basket that brought forth innovation to the gallery.",0.7613192719998096,0.043748952534180534
HARK_n_sep_GT,3,2,14.772,110,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_3/enhanced_fileid_3_doa110_spk2.wav,gt_spk_filename,1,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa110_spk2.txt,0.36363636363636365,12,33,-1.962551169329425,-1.3865819288137313,0.5759692405156938,-6.614232109475134,-20.703449975606176,-14.089217866131042,OF HIS FALLING DOWN AND WORSHIPING HIM JOHN MERRICK WAS A MULTI MILLIONAIRE TO BE SURE BUT THERE WERE PALLIATING CIRCUMSTANCES THAT ALMOST EXCUSED HIM HE HAD BEEN SO BUSILY OCCUPIED IN INDUSTRY,"of his falling down and worshiping. He was a ultimate believer in the truth, but there were scourging circumstances that almost excused him of being so busily occupied in industry.",0.4255947260000994,0.028810907527761942
HARK_n_sep_GT,3,3,14.772,192,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_3/enhanced_fileid_3_doa192_spk3.wav,gt_spk_filename,2,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa192_spk3.txt,0.75,21,28,-5.42711547849777,-2.82181878376217,2.6052966947355998,-10.598079427766692,-21.977182183022478,-11.379102755255786,HAD BEEN APPOINTED COUNCIL PENSIONARY CROMWELL TOOK PAINS TO LET THE ESTATES OF HOLLAND KNOW HIS FAVOURABLE FEELINGS TOWARDS THEM BY SENDING OVER IN FEBRUARY A PRIVATE EMISSARY,"I have been appointed Councilor Pinguiner. Cromwell took pains to let the estate department know his favorable feelings towards them by sending over February private MSS. I am held by Dr. Lewis R. Moore, a psychoanalyst.",0.6062475559999712,0.04104031654481256
HARK_n_sep_GT,4,2,15.312,243,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_4/enhanced_fileid_4_doa243_spk2.wav,gt_spk_filename,1,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa243_spk2.txt,1.025,41,40,-2.607177371047115,-2.4280570732932665,0.1791202977538484,-7.623311825695067,-33.80439879734324,-26.18108697164817,AH YES HE RETURNED THOUGHTFULLY I'VE ALWAYS NOTICED THAT THE OPERA MAKES FOLKS DESPERATELY HUNGRY FOR THEY FLOCK TO THE RESTAURANTS AS SOON AS THEY CAN GET AWAY SINGULAR ISN'T IT WHY I NEVER THOUGHT OF IT IN THAT LIGHT,"The publication, if made at all, should be able to assume as possible that the person is asked to be remembered. A father guy, a deceased person, a deceased person is 18 years away. A singular is an adposition. It will be seen as a part of it in that light.",0.6095410860000356,0.039808064655174745
HARK_n_sep_GT,4,3,15.312,58,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_GT/official_hark_outputs/fileid_4/enhanced_fileid_4_doa58_spk3.wav,gt_spk_filename,2,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa58_spk3.txt,0.9743589743589743,38,39,-2.6487694537729,-2.544114861719807,0.1046545920530928,-7.537151280058324,-37.807732369645535,-30.27058108958721,YET AFTER IT WAS ALL OVER SHE WAS INFORMED THAT THE EMPEROR AND EMPRESS HAD SPOKEN KINDLY TO HER AND THAT SHE HERSELF HAD MADE HER BOW AND BACKED OUT OF THE ROOM ADMIRABLY FOR ONE IN HER POSITION,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",0.5068782389998887,0.03310333326801781
