fileid,mic_file,duration_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,ipdnet2_sec,dsenet_sec,stream_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,total_sec,ipdnet2_rtf,dsenet_rtf,stream_send_rtf,total_rtf,cumulative_rtf,under_realtime,transcript_count_delta,transcript_text_delta
0,mic_fileid_0_doa73_3spk.wav,4.0,3,"75,170,204",0,75,0.05809605323936236,enhanced_fileid_0_pred75_idx0_loudest.wav,73,2.0,0.8954648640001324,0.8186011730003884,1.8718877600003907,4.0,4.0,4.000110099999802,0.00011009999980160501,3.5859537970009114,0.2238662160000331,0.2046502932500971,0.4679719400000977,0.8964884492502279,1.0000275249999504,0,0,
1,mic_fileid_1_doa82_3spk.wav,4.0,3,"82,175,184",2,184,0.059213342509223554,enhanced_fileid_1_pred184_idx2_loudest.wav,187,3.0,0.09289370899932692,0.7005031869994127,3.149358353000025,4.0,8.0,8.000148287999764,0.00014828799976385199,3.9427552489987647,0.02322342724983173,0.17512579674985318,0.7873395882500063,0.9856888122496912,1.0000185359999705,0,0,
2,mic_fileid_2_doa36_3spk.wav,4.0,3,"35,124,241",0,35,0.05480079372193854,enhanced_fileid_2_pred35_idx0_loudest.wav,36,1.0,0.09007251099956193,0.7124925959997199,3.128445906999332,4.0,12.0,12.000130931999593,0.00013093199959257618,3.9310110139986136,0.022518127749890482,0.17812314899992998,0.782111476749833,0.9827527534996534,1.000010910999966,0,3,"But before he's arrival, But the precautions which happily concerned in the system of washing or turning"
3,mic_fileid_3_doa39_3spk.wav,4.0,3,"38,105,188",0,38,0.07454342343608834,enhanced_fileid_3_pred38_idx0_loudest.wav,39,1.0,0.06890256899987435,0.6686744469998303,3.237923441000021,4.0,16.0,16.000125690999994,0.0001256909999938216,3.9755004569997254,0.017225642249968587,0.16716861174995756,0.8094808602500052,0.9938751142499314,1.0000078556874996,0,2,"Her life was quiet, which takes over the usual stream of consciousness"
4,mic_fileid_4_doa26_3spk.wav,4.0,3,"25,48,85",0,25,0.08456687846525648,enhanced_fileid_4_pred25_idx0_loudest.wav,26,1.0,0.0791886599999998,0.6635089700002936,3.2291957830002502,4.0,20.0,20.000162993999766,0.0001629939997656038,3.9718934130005437,0.01979716499999995,0.1658772425000734,0.8072989457500626,0.9929733532501359,1.0000081496999882,0,2,"type of thinking. The publication, if made at"
5,mic_fileid_5_doa60_3spk.wav,4.0,3,"51,101,347",2,347,0.03149938778170165,enhanced_fileid_5_pred347_idx2_loudest.wav,338,9.0,0.064035349999358,0.6602323089991842,3.254245629000252,4.0,24.0,24.00135127700014,0.0013512770001398167,3.978513287998794,0.0160088374998395,0.16505807724979604,0.813561407250063,0.9946283219996985,1.0000563032083392,0,2,"all, should be affected as soon as possible"
6,mic_fileid_6_doa30_3spk.wav,4.0,3,"23,85,139",2,139,0.06586922379491342,enhanced_fileid_6_pred139_idx2_loudest.wav,140,1.0,0.07407070199951704,0.6749379430002591,3.2283006099996783,4.0,28.0,28.000692360999892,0.0006923609998921165,3.9773092549994544,0.01851767549987926,0.16873448575006478,0.8070751524999196,0.9943273137498636,1.0000247271785676,0,2,. He wore a blouse and I heard his bl
7,mic_fileid_7_doa57_3spk.wav,4.0,3,"54,96,205",0,54,0.05235206343487498,enhanced_fileid_7_pred54_idx0_loudest.wav,57,3.0,0.06250726700000087,0.6787036649993752,3.2387913830007165,4.0,32.0,32.00034250899989,0.0003425089998927433,3.9800023150000925,0.015626816750000216,0.1696759162498438,0.8096978457501791,0.9950005787500231,1.0000107034062466,0,2,"ouse, that old black coat. Those bullet holes in the back of the car"
8,mic_fileid_8_doa80_3spk.wav,4.0,3,"75,99,344",0,75,0.04220188705032262,enhanced_fileid_8_pred75_idx0_loudest.wav,333,102.0,0.06275779899988265,0.6744804499994643,3.2416457870003796,4.0,36.0,36.00011842999993,0.00011842999992950354,3.9788840359997266,0.015689449749970663,0.16862011249986608,0.8104114467500949,0.9947210089999317,1.0000032897222202,0,2,were fired from above and- Don't I love it. But I know you
9,mic_fileid_9_doa85_3spk.wav,4.0,3,"82,220,315",2,315,0.04983497210136964,enhanced_fileid_9_pred315_idx2_loudest.wav,314,1.0,0.06879013500019937,0.6732670920000601,3.2359819339999376,4.0,40.0,40.00016106000021,0.00016106000020954525,3.978039161000197,0.017197533750049843,0.16831677300001502,0.8089954834999844,0.9945097902500493,1.0000040265000052,0,2,do. The death judgment submitted.
