fileid,mic_file,text_file,gt_doa,pred_doa,doa_error_deg,spk,clean_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,dsenet_sec,metrics_sec,whisper_sec,total_target_sec,reference,hypothesis
0,mic_fileid_0_doa73_3spk.wav,text_fileid_0_doa73_spk1.txt,73,73,0.0,1,clean_fileid_0_doa73_spk1.wav,0.0,0,38,4.8832173347473145,19.792470932006836,14.909253597259521,4.863799095153809,19.603729248046875,14.739930152893066,1.3355612754821777,3.816906213760376,2.4813449382781982,5.477736857000309,0.43111676999978954,1.153314772000158,7.062168399000257,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him."
1,mic_fileid_1_doa187_3spk.wav,text_fileid_1_doa187_spk1.txt,187,187,0.0,1,clean_fileid_1_doa187_spk1.wav,0.0,0,32,4.6262102127075195,17.658205032348633,13.031994819641113,4.592447757720947,17.515836715698242,12.923388957977295,1.2753520011901855,3.721456527709961,2.4461045265197754,4.573558743000376,0.25955102499983695,0.3526344910001171,5.18574425900033,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the precautions, which have been so happily concerted in the system under consideration, promise an effectual security against this mischief. The choice of several to form an intermediate body of electors."
2,mic_fileid_2_doa36_3spk.wav,text_fileid_2_doa36_spk1.txt,36,36,0.0,1,clean_fileid_2_doa36_spk1.wav,0.17073170731707318,7,41,5.0097336769104,18.915668487548828,13.905934810638428,5.002057075500488,18.742074966430664,13.740017890930176,1.2396373748779297,3.533970355987549,2.294332981109619,5.0683660589998,0.39745756799993615,0.48013508100029867,5.945958708000035,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that Rose in her head always centered on Charlie Kinraid, his ways, his words."
3,mic_fileid_3_doa39_3spk.wav,text_fileid_3_doa39_spk1.txt,39,39,0.0,1,clean_fileid_3_doa39_spk1.wav,0.058823529411764705,2,34,4.865467071533203,22.268524169921875,17.403057098388672,4.855952739715576,22.120281219482422,17.264328479766846,1.2316536903381348,3.867596387863159,2.6359426975250244,3.8835858830002508,0.39484672000025967,0.3896465980001267,4.668079201000637,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst."
4,mic_fileid_4_doa26_3spk.wav,text_fileid_4_doa26_spk1.txt,26,26,0.0,1,clean_fileid_4_doa26_spk1.wav,0.15625,5,32,3.8145864009857178,14.795550346374512,10.980963945388794,3.797342300415039,14.606331825256348,10.808989524841309,1.250014066696167,3.206721544265747,1.95670747756958,4.037105261000306,0.25566150299982837,0.3314883299999565,4.624255094000091,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore."
5,mic_fileid_5_doa338_3spk.wav,text_fileid_5_doa338_spk1.txt,338,338,0.0,1,clean_fileid_5_doa338_spk1.wav,0.07692307692307693,3,39,4.235630512237549,17.87204933166504,13.63641881942749,4.2257466316223145,17.479541778564453,13.253795146942139,1.1749225854873657,3.5045149326324463,2.3295923471450806,4.151118276000034,0.2716918569999507,0.4633081939996373,4.886118326999622,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being an expert as master is, one mustn't let himself open to. Conce didn't have time to complete the compliment. And in the midst of the general silence, a voice became audible."
6,mic_fileid_6_doa140_3spk.wav,text_fileid_6_doa140_spk1.txt,140,140,0.0,1,clean_fileid_6_doa140_spk1.wav,0.0,0,37,3.961557626724243,18.060165405273438,14.098607778549194,3.953115940093994,17.861919403076172,13.908803462982178,1.213527798652649,3.4685568809509277,2.255029082298279,4.0682471229997645,0.29542749700021886,0.40371743600007903,4.767392056000062,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wore a blouse and under his blouse an old black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be saying. Voltaire.
7,mic_fileid_7_doa57_3spk.wav,text_fileid_7_doa57_spk1.txt,57,57,0.0,1,clean_fileid_7_doa57_spk1.wav,0.043478260869565216,1,23,2.229769468307495,15.179534912109375,12.94976544380188,2.204075574874878,14.805817604064941,12.601742029190063,1.1526575088500977,3.105898857116699,1.9532413482666016,3.6063452380003582,0.25259264099986467,0.24387546400021165,4.1028133430004345,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the car were fired from above and behind the machine. They slanted down, but not sideways."
8,mic_fileid_8_doa333_3spk.wav,text_fileid_8_doa333_spk1.txt,333,333,0.0,1,clean_fileid_8_doa333_spk1.wav,0.0,0,55,5.1611785888671875,19.745664596557617,14.58448600769043,5.142127990722656,19.618820190429688,14.476692199707031,1.2348089218139648,3.7461941242218018,2.511385202407837,4.833843696999793,0.42038796099996034,0.599082780000117,5.85331443799987,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how we were getting on. Oh, pretty glibly, sir, replied the mate. We can scarcely tell what headway we are making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising."
9,mic_fileid_9_doa314_3spk.wav,text_fileid_9_doa314_spk1.txt,314,314,0.0,1,clean_fileid_9_doa314_spk1.wav,0.0,0,39,4.034686088562012,19.77006721496582,15.735381126403809,4.025796890258789,19.596485137939453,15.570688247680664,1.1800642013549805,3.7099149227142334,2.529850721359253,4.556993780000084,0.29104978900022616,0.37976186100013365,5.227805430000444,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentleman submitted. Why did you invite yourself? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.
