fileid,mic_file,method,speaker_id,duration_sec,gt_doa,mic_channel,sepformer_source,separated_source_index,oracle_match_si_sdr,enhanced_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,sepformer_sec,whisper_sec,metrics_sec,total_sec,sepformer_rtf,whisper_rtf,metrics_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,SepFormer-sepformer-wsj03mix,1,17.622,73,1,speechbrain/sepformer-wsj03mix,1,1.2746142519979156,,text_fileid_0_doa73_spk1.txt,0.3684210526315789,14,38,4.8832173347473145,3.758819103240967,-1.1243982315063477,4.86379861831665,1.2896591424942017,-3.5741394758224487,1.3355612754821777,1.3092446327209473,-0.02631664276123047,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But the marriage arrived in life as a state. The child is insane with grief, or especially because the maid discovered that her ladyship had left the letter to some man she calls Dick, telling him that she loved him. What did he say?",1.3927023150008608,1.6146053880002,0.6336406030004582,3.640948306001519,0.07903202332316768,0.09162441198503007,0.03595736028830202,0.20661379559649978,1
1,mic_fileid_1_doa82_3spk.wav,SepFormer-sepformer-wsj03mix,1,16.681375,187,1,speechbrain/sepformer-wsj03mix,1,5.119212103556557,,text_fileid_1_doa187_spk1.txt,0.3125,10,32,4.6262102127075195,5.641079425811768,1.014869213104248,4.592447757720947,5.18248176574707,0.590034008026123,1.2753520011901855,1.4767438173294067,0.2013918161392212,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the pre-publicists would have been so happily concerned with the policy of consideration. Oralism, or effectual security against Mr. Connick. The choice of several to form an intermediate body of electors.",0.5827467319995776,0.5107041930004925,0.26175943599992024,1.3552103609999904,0.0349339746873131,0.03061523363634548,0.01569171821866724,0.08124092654232583,1
2,mic_fileid_2_doa36_3spk.wav,SepFormer-sepformer-wsj03mix,1,17.43025,36,1,speechbrain/sepformer-wsj03mix,0,6.375611465937024,,text_fileid_2_doa36_spk1.txt,0.5365853658536586,22,41,5.0097336769104,7.111740589141846,2.1020069122314453,5.002055644989014,6.373640060424805,1.371584415435791,1.2396373748779297,1.3319568634033203,0.09231948852539062,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or watching which one he did. Her life was quiet in the mountains, although hardworking, and while her hand mechanically found and did the repust and labor, the thoughts that rose in her hand were always centered on her which one laid, his ways, his words.",0.6150577409989637,0.6882802710006217,0.4136137330006022,1.7169517450001877,0.03528679973029438,0.03948768784157552,0.02372965006242608,0.09850413763429598,1
3,mic_fileid_3_doa39_3spk.wav,SepFormer-sepformer-wsj03mix,1,14.798375,39,1,speechbrain/sepformer-wsj03mix,1,7.226016299965135,,text_fileid_3_doa39_spk1.txt,0.35294117647058826,12,34,4.865467071533203,7.791445732116699,2.925978660583496,4.855953216552734,7.2215423583984375,2.365589141845703,1.2316536903381348,1.6092021465301514,0.3775484561920166,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"would take over the usual sphere of consciousness type of thing. It is implied that the process may be out of this, and one of the newer theories is one held by Dr. Louis R. Wolver, a psychoanalyst.",0.48738787500042235,0.5308035830003064,0.2781051980000484,1.2962966560007771,0.03293522937487544,0.03586904528370895,0.01879295517244619,0.08759722983103058,1
4,mic_fileid_4_doa26_3spk.wav,SepFormer-sepformer-wsj03mix,1,15.334625,26,1,speechbrain/sepformer-wsj03mix,2,3.178269278249041,,text_fileid_4_doa26_spk1.txt,0.15625,5,32,3.8145864009857178,4.4238600730896,0.6092736721038818,3.7973413467407227,3.1780996322631836,-0.6192417144775391,1.250014066696167,1.3200883865356445,0.07007431983947754,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be expected as soon as possible after my death. My father died on the 6th of December, 18th of December. It will be seen, therefore.",0.4932533089995559,0.48322095699950296,0.2689332119989558,1.2454074779980147,0.03216598443063041,0.03151175571619801,0.0175376451656924,0.08121538531252082,1
5,mic_fileid_5_doa60_3spk.wav,SepFormer-sepformer-wsj03mix,1,15.43125,338,1,speechbrain/sepformer-wsj03mix,2,2.0614295334056267,,text_fileid_5_doa338_spk1.txt,0.5128205128205128,20,39,4.235630512237549,3.763793468475342,-0.47183704376220703,4.225747108459473,2.0502164363861084,-2.1755306720733643,1.1749225854873657,1.183027744293213,0.008105158805847168,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How should we make a new one? When one has the honor of being expert as master is, one must play in soul movement too. Cause they didn't have time to complete the arrangement. And the midst of the general silence avoids being audible.",0.5006076209992898,0.5807157990002452,0.2978937269999733,1.3792171469995083,0.032441158104449724,0.0376324535601617,0.019304575261237637,0.08937818692584905,1
6,mic_fileid_6_doa30_3spk.wav,SepFormer-sepformer-wsj03mix,1,15.101125,140,1,speechbrain/sepformer-wsj03mix,0,5.334366537821995,,text_fileid_6_doa140_spk1.txt,0.8108108108108109,30,37,3.961557626724243,7.73350715637207,3.771949529647827,3.953115940093994,5.334282398223877,1.3811664581298828,1.213527798652649,1.198760986328125,-0.014766812324523926,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,"You may have bottles, and as you read the box, you build black coats. You need permission to register and send your emails. There are certain videos which are often pronounced to support everything you might want to send. Vote now.",0.4818376929997612,0.5798773339993204,0.30453798300004564,1.3662530099991272,0.03190740378612595,0.038399611552074456,0.020166575867695,0.0904735912058954,1
7,mic_fileid_7_doa57_3spk.wav,SepFormer-sepformer-wsj03mix,1,13.9115,57,1,speechbrain/sepformer-wsj03mix,2,3.738362589054968,,text_fileid_7_doa57_spk1.txt,0.17391304347826086,4,23,2.229769468307495,5.070490837097168,2.840721368789673,2.2040748596191406,4.545076370239258,2.341001510620117,1.1526575088500977,1.3183043003082275,0.16564679145812988,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those gold holes in the back of the car fired from above and behind the machines. They slanted down, but not side-to-side.",0.45891666100033035,0.3815603140010353,0.2491343109995796,1.0896112860009453,0.032988294648336296,0.0274276903282202,0.017908515329014097,0.07832450030557059,1
8,mic_fileid_8_doa80_3spk.wav,SepFormer-sepformer-wsj03mix,1,17.153125,333,1,speechbrain/sepformer-wsj03mix,0,3.940128265601328,,text_fileid_8_doa333_spk1.txt,0.38181818181818183,21,55,5.1611785888671875,4.360401630401611,-0.8007769584655762,5.142127990722656,3.7503886222839355,-1.3917393684387207,1.2348089218139648,1.4907679557800293,0.25595903396606445,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how the wood was getting on. Well, it was pretty good, sir, he replied to me. He couldn't fiercely tell what handling we were making, so we were obliged to keep the millers and rivers, and there is the shadow of a fog rising.",0.6056502700012061,0.8172420149985555,0.3931212500010588,1.8160135350008204,0.035308450792564394,0.047643914155499685,0.022918345782535765,0.10587071073059985,1
9,mic_fileid_9_doa85_3spk.wav,SepFormer-sepformer-wsj03mix,1,16.73125,314,1,speechbrain/sepformer-wsj03mix,2,5.09555631643365,,text_fileid_9_doa314_spk1.txt,0.5384615384615384,21,39,4.034686088562012,6.751471042633057,2.716784954071045,4.0257954597473145,5.163822174072266,1.1380267143249512,1.1800642013549805,1.3564300537109375,0.17636585235595703,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The death sentence is missing. Why did you invite her? Because a tea party is not complete without your permission. Commander was an strangely outfit that we looked for. But she was consigned herself to the magnified clearly sock.,0.5845942389987613,0.5958117440004571,0.2794705350006552,1.4598765179998736,0.03494026082921248,0.035610713126661614,0.016703506014234155,0.08725447997010825,1
