fileid,chunk_index,clean_file,duration_sec,input_channels,input_audio_type,audio_start_sec,audio_end_sec,gt_dominant_spk1_doa,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,clean_fileid_0_doa73_spk1_1.wav,4.0,1,clean_spk1,0.0,4.0,73,3.980057377999401,4.0,4.0,4.0000540970004295,5.409700042946497e-05,0.5,1,1.0000135242501074,0.9950143444998503,0,,1,"but before his arrival, life was extinct.",,0.24,2.96
0,2,clean_fileid_0_doa73_spk1_2.wav,4.0,1,clean_spk1,4.0,8.0,73,3.9830199429998174,4.0,8.0,8.000150044000293,0.00015004400029283715,0.5,1,1.0000187555000366,0.9957549857499544,2,"but before his arrival, life was extinct. is insane with grief. More especially",2,is insane with grief. More especially because the maid discovered,"but before his arrival, life was extinct.",4.12,7.46
0,3,clean_fileid_0_doa73_spk1_3.wav,4.0,1,clean_spk1,8.0,12.0,73,3.9869227050003246,4.0,12.0,12.000134224999783,0.0001342249997833278,0.5,1,1.0000111854166487,0.9967306762500812,2,because the maid discovered that her lady ship had left a letter,2,that her lady ship had left a letter to some man she calls Dick,is insane with grief. More especially because the maid discovered,8.5,11.920000000000002
0,4,clean_fileid_0_doa73_spk1_4.wav,4.0,1,clean_spk1,12.0,16.0,73,3.9864118530003907,4.0,16.0,16.000147120999827,0.0001471209998271661,0.5,1,1.0000091950624892,0.9966029632500977,2,"to some man she calls Dick , telling him that she loved him",1,", telling him that she loved him",that her lady ship had left a letter to some man she calls Dick,12.98,14.24
1,1,clean_fileid_1_doa187_spk1_1.wav,4.0,1,clean_spk1,16.0,20.0,187,3.9860890979998658,4.0,20.0,20.00013478999972,0.000134789999719942,0.5,1,1.000006739499986,0.9965222744999664,2,. But the precautions which have been so,3,. But the precautions which have been so happily concerted in the system under consideration,,16.22,20.2
1,2,clean_fileid_1_doa187_spk1_2.wav,4.0,1,clean_spk1,20.0,24.0,187,3.985510618000262,4.0,24.0,24.000079055999777,7.905599977675593e-05,0.5,1,1.0000032939999908,0.9963776545000655,2,happily concerted in the system under consideration . Promise and effect,2,. Promise and effect ual security against this mis,. But the precautions which have been so happily concerted in the system under consideration,21.34,24.2
1,3,clean_fileid_1_doa187_spk1_3.wav,4.0,1,clean_spk1,24.0,28.0,187,3.987347219000185,4.0,28.0,28.000132408000354,0.00013240800035418943,0.5,1,1.0000047288571554,0.9968368047500462,2,ual security against this mis chief. The choice of several,2,chief. The choice of several to form an intermediate body,. Promise and effect ual security against this mis,24.42,28.2
1,4,clean_fileid_1_doa187_spk1_4.wav,4.0,1,clean_spk1,28.0,32.0,187,3.988043924999147,4.0,32.0,32.00010759500037,0.00010759500037238467,0.5,1,1.0000033623437616,0.9970109812497867,2,to form an intermediate body of electors.,1,of electors.,chief. The choice of several to form an intermediate body,28.48,29.42
2,1,clean_fileid_2_doa36_spk1_1.wav,4.0,1,clean_spk1,32.0,36.0,36,3.98854320800001,4.0,36.0,36.000127152999994,0.00012715299999399576,0.5,1,1.0000035320277776,0.9971358020000025,2,Or washing or churning days,3,Or washing or churning days . Her life was quiet and mon,,32.06,36.199999999999996
2,2,clean_fileid_2_doa36_spk1_2.wav,4.0,1,clean_spk1,36.0,40.0,36,3.98653271799958,4.0,40.0,40.00011477899989,0.00011477899988676654,0.5,1,1.0000028694749972,0.996633179499895,2,". Her life was quiet and mon otonous, although hardworking",2,"otonous, although hardworking , and while her hands mechanically found",Or washing or churning days . Her life was quiet and mon,36.379999999999995,40.12
2,3,clean_fileid_2_doa36_spk1_3.wav,4.0,1,clean_spk1,40.0,44.0,36,3.9857953259997885,4.0,44.0,44.00011090800035,0.00011090800035162829,0.5,1,1.0000025206363716,0.9964488314999471,2,", and while her hands mechanically found and did the recustom labor",2,and did the recustom labor . The thoughts that rose in her head always,"otonous, although hardworking , and while her hands mechanically found",40.559999999999995,43.94
2,4,clean_fileid_2_doa36_spk1_4.wav,4.0,1,clean_spk1,44.0,48.0,36,3.9879287920002753,4.0,48.0,48.00010803399982,0.00010803399982250994,0.5,1,1.0000022507083297,0.9969821980000688,2,. The thoughts that rose in her head always centered on Charlie Kinraid.,2,"centered on Charlie Kinraid. His ways, his words",and did the recustom labor . The thoughts that rose in her head always,44.339999999999996,47.879999999999995
2,5,clean_fileid_2_doa36_spk1_5.wav,4.0,1,clean_spk1,48.0,52.0,36,3.9864935069999774,4.0,52.0,52.00013271199987,0.00013271199986775173,0.5,1,1.0000025521538436,0.9966233767499943,2,"His ways, his words .",1,.,"centered on Charlie Kinraid. His ways, his words",48.58,48.580999999999996
